REFCODE;GFN2;PM7;PM6
APIBEI;1.8641;1.7239;1.7984
APIBIM;0.3033;0.713;0.6252
APIKUH;0.1773;0.3671;0.7546
APINIX;0.567;0.5648;0.4798
APINUJ;0.2392;0.3244;0.4686
APUBOE;0.386;1.4201;1.4252
APUCAR;0.3591;1.0573;1.0528
APUCEV;0.2602;0.2148;1.034
AQARER;0.175;0.5021;1.0677
AQAVIZ;0.208;0.2875;0.8759
AQAZIB;0.4537;1.8396;2.0346
AQICAF;0.1158;0.221;0.3137
AQIQIB;0.1867;0.3612;1.0358
AQIRIC;0.4912;0.2603;0.5988
AQIYII;0.2707;0.0869;0.358
AQUGEY;0.8345;1.9659;0.9091
ARAVOG;0.1945;0.4152;1.1247
ARECIJ;0.3631;2.3847;1.604
ARELEP;0.23;0.3454;0.3556
ARELOZ;0.2308;0.2139;0.6003
ARELUF;0.7345;0.8005;0.8409
ARIBAG01;0.3224;0.2938;0.8261
ARIBEK;0.3106;0.4068;1.0082
ARIBIO;0.5405;0.2955;0.4994
ARICOU;0.5286;0.4856;0.3558
ARIGOX;0.3138;0.5054;1.2157
ARIPEW;0.1538;0.2347;0.1961
ARIROJ;0.7599;0.7604;0.5017
ARISAW;0.1591;0.3781;0.5642
ARITOK;0.2503;0.2492;0.3532
ARIVAY;0.9438;0.9005;0.6955
ARIVEC;0.8797;1.0866;0.9829
ARIVIG;0.2171;0.2749;0.4046
ARIZOR;0.1383;0.1352;0.2069
AROBIS;0.7518;0.6969;0.9303
AROTEI;0.3689;0.346;0.301
ARUFOJ;0.5248;1.0084;0.36
ARUGOL;0.4618;0.463;1.4786
ARUMOQ;0.2246;0.1885;0.5418
ARUTIR;0.1717;0.4002;0.674
ASAJEK;0.4734;0.7569;0.3474
ASIKET;0.2548;0.4183;1.0672
ASIKIX;0.2937;0.2838;0.9626
ASIKOD;0.3661;1.2556;0.9134
ASIYAC;1.1332;2.1172;1.6586
ASIYEG;1.3761;1.3374;1.1204
ASOJIB;0.6098;0.6325;1.2049
ATAHIM;0.3662;0.5798;0.3312
ATASEU;0.1857;0.1786;0.3645
ATAVEX;0.1766;0.3396;0.3913
ATIFOY;0.4723;0.5995;1.0038
ATIQAW;0.847;1.5132;1.0841
ATOJUO;0.4039;0.6964;0.5402
ATPHCI;0.2113;0.428;0.9429
ATUQOV;0.1612;0.129;0.5935
AVEKOB;0.1312;0.3114;0.1735
AVEKUH;0.0888;0.2966;0.1338
AVEVAY;0.1057;0.2534;0.464
AVOHAV;0.5248;0.4254;0.5272
AVOHID;0.8278;0.7777;0.7681
AVOHOJ;0.5444;0.6583;0.8531
AVOREK;0.26;0.304;0.3001
AVORIO;0.3355;0.2597;0.2161
AWACIL;0.6895;1.0218;0.9491
AWANOC;0.676;0.4949;0.7326
AWONIL;0.2847;0.5139;0.2917
AWONOQ;0.6682;1.0584;0.1812
AWONOQ01;0.6843;0.8715;0.1897
AWONOR;0.4097;1.2209;0.9909
AWONOR01;0.468;1.1754;0.927
AWOPEJ;0.1895;0.0983;0.2646
AWOSAH;0.8023;0.2091;1.1941
AXAGAJ;0.2245;1.2354;1.1166
AXAGUB;0.1525;0.1825;0.3252
AXAKIT;0.2276;0.2285;0.3046
AXAPIA;0.4741;0.9167;0.5625
AXISUW;0.2891;0.1975;0.2666
AXIVAG;0.1972;0.4717;0.3657
AXIVEK;0.0908;0.2439;0.3684
AXIVIO;0.1722;0.3562;0.7028
AXIXEL;0.0748;0.1812;0.2359
AXIXIP;0.267;1.591;0.2553
AXOZIX;0.0802;0.3898;0.9989
AXOZIX01;0.0804;0.3899;1.0003
AXOZOD;0.1424;0.4159;1.0667
AXOZUJ;0.0868;0.3711;1.0243
AXUBIF;0.4315;0.3619;2.153
AXUYUN;0.4118;0.4828;0.827
AYEWOQ;0.2149;0.2876;1.0679
AYOYIW;0.2289;1.0535;0.3549
AYUFAB;0.3922;0.9543;1.0498
AYUFIJ;0.431;0.968;0.9495
AYUNOX;0.0714;0.2686;0.7048
AZOBEW;0.2899;0.3513;0.9877
AZOFOL;0.5687;1.736;1.0359
AZUDOO;0.2229;0.2215;0.7458
BABBAJ;0.4407;0.5309;0.9198
BABBEN;0.1319;0.7218;1.4386
BABQIE;0.306;0.4161;1.1804
BACFER01;0.3317;0.3702;0.2014
BACWIO;0.459;1.4529;1.6461
BACXAF;0.7936;0.8219;0.8542
BADDAM01;0.8792;0.2169;0.2192
BADQAA;0.236;1.2128;1.2821
BADWAG;0.1189;0.1829;0.6436
BADWIN;0.4937;0.1352;0.4148
BADWUZ;0.1411;0.1429;0.1336
BADXAG;0.0727;0.4945;0.4585
BADXEK;0.0591;0.0996;0.1773
BADXIO;0.0939;0.1428;0.1325
BADYUB;0.0983;0.3863;0.4084
BAFDOE;0.528;0.8015;0.6982
BAFDUK;0.4885;0.2088;0.1984
BAFGAR;0.3132;0.6671;0.6673
BAFPOQ;0.6261;0.7369;0.927
BAFPUW;0.7527;0.7993;0.3897
BAFSAD;0.2265;0.3767;0.4168
BAFSEH;0.2294;0.4016;0.4908
BAFVIN10;0.3816;0.4099;1.0123
BAGKIE;0.4477;0.5527;0.5252
BAGRUW;0.1292;0.3946;0.5864
BAJJUS;0.5676;0.8717;0.8772
BAJKED;0.974;1.0352;1.9766
BAJKIH;1.0068;1.0299;1.22
BAKTEO;0.4862;0.7705;1.0869
BAKTIS;0.4826;0.6048;0.898
BAKTUE;0.2126;0.3505;0.8563
BAKVAM;0.3351;0.2833;0.6855
