REFCODE;GFN2;PM7;PM6
CERTAV;0.2304;1.6209;0.5343
CESDUZ;0.0617;0.2641;0.4394
CESLIW;0.109;0.2839;0.1321
CESLOC;0.2726;0.4012;0.7975
CESLUI;0.1271;0.1639;0.182
CESNOF;0.3656;0.2715;0.6161
CESNUK;0.9773;0.3099;0.6202
CESROH;0.1904;0.5051;0.6851
CESVON;0.3287;0.375;1.5518
CETBAG;0.6475;0.9952;0.7009
CETBEK;0.4783;0.7357;1.1456
CETBIO;0.5122;1.2101;0.6955
CETDIO10;1.0216;2.431;1.6178
CETHIU;0.1861;0.1882;0.9823
CETNEV;0.2633;0.4836;0.8105
CEVBIQ;0.1661;0.198;0.6428
CEWMAS;0.6081;0.5615;0.6176
CEWXUX10;0.053;0.2162;0.2749
CEWYEI10;0.3219;0.1429;0.1968
CEXFAN;0.188;0.2225;0.8978
CEXTIJ;0.3427;0.1971;0.1391
CEXTOP;0.1798;0.4664;0.7965
CEXTUV;0.3044;0.4569;0.9927
CEXXIM;0.3833;0.1336;0.1151
CEYRIH;0.5012;0.1559;0.3518
CEZJUN;0.5113;0.5628;3.0009
CEZKAU;0.2562;0.2494;0.7833
CEZMAX;0.395;0.4445;0.9352
CEZQEF;1.0713;0.2237;0.9735
CFPOFE10;0.36;0.2462;0.8224
CFPZFE10;0.3811;0.328;1.7769
CHPFBF;0.2106;0.3399;0.8368
CIBFID;0.9344;1.4837;1.3918
CICBAS;0.547;0.4284;1.1559
CICBIA;0.2696;0.8003;0.7699
CICHUS;0.7445;0.6006;0.6379
CICNEH;0.1859;0.7607;0.6591
CICQAG;0.4705;1.2866;1.1923
CICQEK;0.3813;2.276;0.8466
CIDBIA;0.1488;0.1601;0.7074
CIFWOD01;0.3757;1.1656;0.2449
CIHTIY;0.2885;0.372;0.4545
CIHTOE;0.159;0.2664;0.4484
CILGEJ;0.2159;1.1154;0.5886
CILMIV;1.4414;0.6627;0.9541
CIMBUW;0.1657;0.2118;0.4678
CIMCAD;0.3234;0.487;0.4609
CIMQIA;0.401;0.4903;0.4235
CIPKES;0.4041;0.7142;0.6232
CIPQAU;0.3493;0.2247;1.1179
CIQTUR;0.38;0.5624;0.9126
CIRBIP;0.1565;0.8354;1.3839
CIRBOV;0.2803;0.2429;0.5088
CIRMIA;0.1058;0.2165;0.1836
CIRTII;0.2305;0.2328;0.4688
CISYAG;0.3887;0.3464;1.6688
CITCOX;1.1084;0.3727;0.6767
CITZOV;0.3386;0.5142;0.5089
CIVHAR;0.2883;0.9144;1.5653
CIVNEB;0.1565;0.3057;0.2448
CIVYEM;0.6093;0.3289;0.8947
CIWHAR10;0.1743;0.4175;0.6101
CIWVEK;0.4007;0.7766;0.9788
CIWZEO;0.1398;0.5062;0.408
CIXFIZ;0.4064;0.3357;0.4766
CIXFUL01;0.3211;0.2968;0.2686
CIXGOH;0.7004;0.6381;0.6581
CIXGUN;0.8758;0.283;0.7847
CIXHAU;0.1934;0.292;0.4196
CIYJIF;0.3419;0.6117;0.873
CIYREI;0.1037;0.1949;0.1079
CIZBUJ;0.1239;0.1504;0.3251
CIZCAQ;0.1688;0.1251;0.3728
CIZQEJ;0.3875;0.4877;0.7582
CIZWAK;0.1483;0.9921;0.8181
CIZWEO;0.1976;0.2566;0.9981
CMCPFE;0.1687;0.2654;0.6537
CMCPFE01;0.1677;0.2603;0.6533
CMCPFE10;0.1692;0.2634;0.6544
CMXPFE;0.122;0.4347;0.9258
CNOFEA;0.3371;0.2729;0.4595
CNOFEB;0.8614;0.4615;1.2198
COBHIL;0.337;0.7078;0.4559
COBHUX;0.3532;1.174;0.5926
COCHFE;0.2351;0.2124;0.984
COCKEL;0.295;0.3468;0.6362
COCNFE;1.0121;1.0411;1.0874
CODCFE01;0.2036;0.3085;0.437
CODXIE;0.7996;1.2208;0.9258
COFLOA;0.8787;0.7393;1.5945
COFPES10;0.1852;0.3692;0.9823
COGDOR;0.0501;0.0672;0.4675
COGQIZ;0.2048;0.3542;1.1841
COLWIJ;0.2105;0.369;1.0089
COMCFE;0.1779;0.133;0.4701
COMDIS;0.2463;0.3594;0.2227
COMJIX;0.1593;0.272;0.3099
COMKUK;0.32;0.1584;0.1833
COMKUL;0.279;0.3087;0.3791
COMKUL01;0.2888;0.3193;0.4124
COMLUL;0.0993;0.1723;0.1943
COMPFF;0.9914;1.2646;0.5504
COMQEA;0.2396;0.2705;0.5587
COMQUR;0.8059;1.196;1.2251
COMROM;0.0844;0.1031;0.1489
CONFUG;0.174;0.4202;0.7699
CONGAN;0.2977;0.4264;0.7997
CONSAZ;0.1021;0.8307;1.6161
CONSAZ10;0.1023;0.8295;1.7409
COPCUG;0.0733;0.4186;0.1834
COPMAV01;0.3039;0.4858;0.7874
COQHUM;1.4925;1.3176;1.3132
COQJEY;1.5091;0.8645;1.4182
CORHIB;0.5755;0.4107;0.598
COSBIX;0.5007;0.5772;0.5215
COSDFE;0.0961;0.0593;0.2695
COSPUV;0.869;0.3041;0.4971
COSYOZ;0.3153;0.3324;2.1199
COSYUF;0.2325;0.4408;1.1417
COTDEV;0.3129;0.1741;0.5885
COTQOS;0.3093;0.3797;0.2209
COTWOX;0.1732;0.1797;0.5931
COVSAH;0.1385;0.37;0.4767
COVZAO11;0.065;0.19;0.408
COVZES;0.096;0.1685;0.1208
COWFAW;0.3963;0.3844;0.8743
COWYIW;0.5456;0.2458;1.1656
COXBUO;0.892;0.9236;0.7863
COXDAV;0.2885;0.3016;0.346
COXRIQ;0.2734;0.3822;0.6349
COYYIY;0.1695;0.3083;0.5648
COZJAD;0.2969;0.4445;0.1665
COZLEJ;0.4177;0.7142;0.6254
COZMIN;0.8068;0.1769;0.875
CPCFEB10;0.1358;0.2152;1.0792
CPCIFE01;0.2864;0.1468;0.3835
CPFEHQ;0.1593;0.2121;0.257
CPFLFE10;0.0778;0.2224;0.3906
CPFMPI10;0.2621;0.3184;0.4864
CPIFEF;0.375;0.2423;0.3717
CPPISF;0.3061;0.2532;0.7641
CPRYFF;0.4215;0.2397;0.7716
CPYFEM;0.3318;0.3092;0.9935
CUBCAF;0.2199;1.1297;0.1936
CUBCEJ;0.3559;0.6954;0.521
CUBCIN;0.351;0.62;0.3751
CUBDOS;0.2214;0.2492;0.872
CUBGEL;0.6598;2.1491;0.7757
CUBPAS;0.6154;0.6862;0.9745
CUBPEW;0.1939;0.5997;1.3249
CUBPIA;1.6183;0.1845;0.6139
CUCFIQ;0.5241;0.8136;1.3174
CUCVON;0.1312;0.1725;0.3424
CUCVUT;0.4369;0.5353;1.0383
CUCWEE;0.5938;0.433;0.771
CUCWOO;1.0981;1.6107;0.7883
CUCWUU;0.5889;0.7311;0.6386
CUDVUT;0.1789;0.2053;0.3597
CUDVUT02;0.3257;0.3472;0.4518
CUFCUB;0.5851;0.7077;1.3082
CUFCUB10;0.2638;0.5424;1.194
CUFMIB;0.3051;0.1232;0.6
CUFMOH;0.1656;0.1963;0.2328
CUFNAU;0.4953;0.4057;0.6641
CUFNEW;0.091;0.1039;0.1911
CUFNOI;0.5051;0.2272;0.3165
CUFNUO;0.1555;0.169;0.1922
CUHCOY;6.1208;0.4486;1.2457
CUJDIW;1.3479;2.1109;1.0866
CUKKUO;0.2385;0.2825;0.697
CUKWEM01;0.5628;0.5704;0.8293
CUNCIX;0.2203;0.2602;0.3115
CUNNAA;0.4313;0.5719;0.4805
CUPXAM;0.6191;0.7721;0.617
CURPOU;0.4273;0.4572;2.2727
CUSGEC;0.2565;0.6367;0.929
CUSKEH;0.6558;0.5498;0.9452
CUSWIX;0.2104;0.2683;0.2917
CUTLIM;0.0787;0.2904;0.2601
CUVDEE;0.1463;0.1759;0.5461
CUWDEE;0.1141;0.2969;0.6122
CUWDOO;0.343;0.2738;0.5443
CUWDUU;0.1775;0.3255;0.576
CUWHIM;0.3694;0.4884;0.5913
CUXBIG;0.1709;0.849;1.2053
CUXBIG10;0.9993;0.9879;1.1602
CUXQIX;0.3011;0.4865;0.274
CUZQUL;0.5598;0.4539;1.3549
CUZRAS;0.4641;0.6672;0.3547
CYHDFE10;0.0752;0.0936;0.7123
CYHDFE11;0.0791;0.0877;0.4644
CYHDFE12;0.0794;0.1041;0.8289
CYMPFE;0.1441;0.131;0.4592
CYOTFE01;0.2847;1.054;0.6857
CYPFEC02;0.1162;0.2761;0.1905
CYPFEC03;0.1168;0.2756;0.1915
CYPFEC04;0.1151;0.2735;0.1899
CYPFEP;0.1808;0.0982;0.2597
DABBUD01;0.1218;0.1905;0.277
DABBUD02;0.1203;0.1877;0.276
DABBUD03;0.1182;0.1894;0.276
DABPIG;0.3953;0.7187;0.7112
DABQAZ;0.8834;0.4279;2.0106
DABRUU;0.5339;0.8901;1.4641
DABSAB;0.7401;0.4191;1.2986
DACFER11;0.2527;0.3635;0.5789
DACFER12;0.2557;0.4253;0.5813
DACJUN;0.3168;0.3183;0.7497
DADCOB;0.1156;0.305;0.2525
DADCOB01;0.1182;0.3106;0.2557
DADDES01;0.6575;0.616;0.4251
DADDOC;0.5509;0.5267;0.3541
DADJIB;0.1832;0.2579;0.4556
DAFBOE;0.3948;0.3338;0.7971
DAFHUP;0.2443;0.1826;1.5515
DAFXOX01;0.4414;1.0903;0.5507
DAGLUU;0.2575;0.3842;0.3191
DAGLUU01;0.217;0.8316;0.2644
DAHGAU10;0.361;0.707;0.7197
DAHRAH;0.6466;0.4186;1.0359
DAHSEM;0.2308;0.1339;0.1527
DAHTAH;0.1475;0.3677;0.6076
DAJBAS;1.1306;1.0426;1.1722
DAKBOG;0.2315;0.6501;0.8511
DAKHUS;0.3974;0.5216;0.5882
DAKPEM;0.3886;1.1694;1.6777
DALPAK;0.4395;0.4472;0.6336
DALPEO;0.7019;1.0072;0.9674
DANVOF;0.2607;0.4471;0.455
DANVOF01;0.2304;0.5419;0.5113
DAPHUA;1.1223;1.5495;1.0254
DAPWIA;0.1711;1.3024;0.5894
DAPYUR;0.2962;0.412;0.988
DAPZAY;0.3241;0.35;1.9753
DAQHOU;0.1665;0.1363;0.2348
DAQMEN;0.392;0.5539;0.7372
DAQVEZ;0.2534;0.3047;0.4649
DASDUX;0.3401;0.4263;1.0835
DASFAF;0.5522;0.3219;0.9912
DASFIN;0.1615;0.8733;1.0996
DASHIP;0.1702;0.1873;0.1755
DASQEW;0.4242;0.3433;1.5832
DASQOG;0.2801;0.1485;1.5091
DATFEJ;0.1154;0.2531;0.7183
DATLAM;0.3978;1.1615;0.3263
DATSID;0.4131;0.5708;0.4558
DATSUP;0.2313;0.6791;1.8121
DATXAY;0.1493;0.1687;0.2308
DATZUU;0.3967;0.665;0.5907
DAVBOS;0.6174;0.4975;0.3679
DAVCAF;0.4509;0.4727;0.6042
DAWCIN;0.2438;0.2554;1.3291
DAWFOZ;0.0878;0.4748;0.6386
DAWFUD;0.4404;0.6754;1.0229
DAWGAK;0.359;0.591;0.7992
DAWGEO;0.2641;0.4693;0.4261
DAWKAO;0.5227;0.7633;0.9883
DAXHIT;0.1241;0.2281;0.1456
DAXHIT01;0.4132;0.4789;0.468
DAXLET;0.1573;0.6513;0.6577
DAXQOI;0.2511;0.8946;0.5472
DAYQEC;0.1608;1.3217;0.244
DAYQIG;0.1765;0.2082;0.3819
DAYVEH;0.3589;0.3903;0.6993
DAYVIL;0.3334;0.9718;0.9618
DAZFED;0.0848;0.1885;0.1065
DAZHCF;0.079;1.83;1.1138
DBEFER01;0.3239;0.7455;0.7768
DBSBFE10;0.1139;0.1405;0.2373
DCHPFE10;0.2027;0.1417;0.9232
DEBQAD;0.1374;0.4168;0.8112
DEBROS;0.6007;0.5244;0.5713
DEBSAF;0.2648;0.2839;0.3729
DECKAZ;0.3629;0.5189;0.2746
DECKED;0.2842;0.5268;0.8367
DECKIH;0.2866;0.4496;0.3051
DECKON;0.5854;0.609;1.902
DECLAA;0.6496;0.5699;1.5528
DECLUS;0.3206;0.377;0.7776
DECMAZ;0.3837;0.4361;0.7291
DECQUZ;0.4896;0.654;1.15
DECREK;0.5136;0.6257;1.1501
DECZIW;0.3816;1.0415;0.5696
DEDREM;0.3019;1.4568;1.5984
DEDROT;0.2873;0.7556;1.2283
DEDTFE10;0.9801;1.2958;2.3308
DEDWIS;0.1571;0.1548;0.5174
DEFCPO;0.1654;0.1328;0.3161
DEGMIM;0.5734;1.5156;1.8181
DEHJOP;0.0954;0.3869;0.9546
DEHZOF;0.4056;0.2828;0.5675
DEJBOL;0.2715;0.484;1.0438
DEKDUV;0.1639;0.0948;0.7161
DEKFEH;0.3959;0.2876;0.8994
DEKHUY;0.2166;0.5278;0.2825
DELBEE;0.8981;0.9442;1.5547
DELBII;0.6771;0.7891;1.0564
DELMEN;0.2049;0.2922;0.3584
DEMDAA;0.2865;0.2184;0.5579
DEMFOR;0.9943;2.1909;0.9811
DEQCAD;0.1189;0.1954;0.261
DEQDAE;0.2119;0.3207;0.399
DERLUI;0.1431;0.189;0.1842
DERMAO;0.1966;1.5231;0.8667
DERMES;0.2066;0.3924;0.7243
DERRIB;0.2555;0.998;0.4922
DESCIN;0.1117;0.1222;0.1759
DESKUI;1.4903;1.2925;1.3745
DEXHOE;0.3243;0.5335;0.3905
DEXHOE01;0.1484;0.6587;0.273
DEXHOE02;0.1539;0.6653;0.2578
DEXHOE03;0.157;0.5798;0.7701
DEXLEY;0.2367;0.2313;0.3134
DEXQEC;0.1221;0.1277;0.7982
DEYWUZ;0.1581;0.3107;0.4384
DEZHUN;0.4455;1.0615;0.2395
DIBHOM;0.6426;0.9854;1.7145
DIBJED;0.0318;0.1091;0.2993
DICBIA;0.2301;0.3685;0.1785
DIDDUP;0.5716;0.5087;0.5351
DIDGOM;0.2044;0.771;0.5988
DIDJAB;0.1443;0.3104;0.8026
DIDKEH;0.3911;0.6345;0.7059
DIFCEA;0.9009;0.9179;0.7496
DIFXEX;0.3256;0.8769;0.6185
DIFYUN;0.1788;0.283;0.3121
DIGJUA;0.3424;0.5533;0.4914
DIKNIV;0.2227;0.3948;1.1255
DIKNUH;0.1932;0.3494;0.9608
DILVAV;0.7046;0.7893;0.7556
DIMYOP;0.3002;0.8076;1.1695
DINCIM;0.6248;0.5394;0.8487
DINTUR;0.3275;0.3895;0.5149
DIPQUO;0.1782;0.675;0.374
DIPSOK;0.4887;0.8619;1.0475
DIPVIH;0.27;0.4709;0.6581
DIRHIX;0.0827;0.0816;0.5805
DIRKEU01;0.2261;1.1755;0.3623
DISHUJ;0.3236;0.3876;0.4136
DISJOF;0.4338;0.4685;0.587
DISQIF;0.2477;0.6464;0.1828
DISQOL;0.1708;0.1294;0.8277
DISYUB;0.2983;0.2195;0.6061
DITSOQ;0.2044;0.3256;0.7203
DIWHOI;0.0924;0.8928;0.1713
DIXDIX;0.0924;0.0794;0.3717
DIXLUR10;0.3299;0.4256;0.68
DIXPIJ;0.1828;0.2301;2.0721
DIYCOD;0.1358;0.1562;1.0381
DIZDAS;0.6718;1.1933;0.7255
DMFERR01;0.2808;0.3476;0.5128
DMFERR02;0.0519;0.1716;0.1368
DMFERR03;0.0485;0.1754;0.3064
DMFERR04;0.0492;0.1751;0.1405
DMFERR05;0.0476;0.1754;0.3151
DMFERR06;0.0487;0.1753;0.3143
DMPZFE;1.4066;0.7237;0.8934
DOCTIY10;1.1751;0.3396;0.3236
DODTIA;0.3326;0.4168;1.1935
DODTOG;1.0655;0.5864;0.9812
DODVUP;1.0232;0.9837;0.6017
DOFFUA;0.6321;0.6251;0.6142
DOFJIR;0.2338;0.5794;0.7248
DOHWIG;0.2134;0.1841;0.8398
DOJNIB;0.2944;0.4394;1.543
DOJNOH;0.2855;0.2355;0.6845
DOKHOA;0.3333;0.5145;0.5805
DOKHUG;0.4833;1.2427;1.1452
DOMDUG;0.3237;0.9017;1.6508
DOMNEZ;0.6348;0.5708;1.0387
DOMZEL;0.1432;0.208;0.8994
DONKAT;0.2848;0.4322;0.4057
DONKEX;0.2759;0.3871;0.3612
DONKIB;0.2697;0.328;0.3003
DORKEB;0.5662;0.6122;1.0992
DORKIF;0.8282;0.6609;1.0936
DORPIJ;0.2922;0.3435;0.9826
DORQEG;0.9303;1.4812;1.2394
DOSQOS;1.3103;1.6902;1.0438
DOTBIX;0.6801;0.7419;0.9295
DOTCAQ;0.265;0.4344;0.2299
DOTVAK;0.561;1.5045;2.4978
DOVGIF;0.9587;0.6567;1.7758
DOVGOL;0.1805;0.161;0.2955
DOVKUU;0.5094;0.3133;0.5973
DOVMAD;0.273;0.9093;0.2679
DOWMOS;0.4969;0.3445;0.8556
DOWQAI;0.1154;0.1096;0.7194
DOWZEV;0.3342;0.3503;0.5854
DOWZIZ;1.0168;0.4585;0.4924
DOXBIC;0.0896;0.2594;0.2583
DOZROA;0.2083;0.3939;0.6186
DOZRUG;0.3139;0.3344;0.795
DPFEMA;0.5466;0.2355;1.5955
DPPNFE01;0.6036;0.8882;1.0827
DPPTFE;0.093;0.3181;0.9101
DTMCFE;0.1171;0.3711;0.8888
DUBJIT;0.1569;0.1909;0.3097
DUCDIP;0.4518;0.5208;0.6038
DUCFOW;0.0942;0.07;0.4262
DUCSUP;0.5275;0.5852;0.6898
DUDDUD;0.2744;0.3281;0.2385
DUFLEW;0.343;0.4268;0.9604
DUFYAG;0.2026;0.534;0.719
DUGCAJ;0.3338;0.4202;0.6016
DUGCAK;0.4435;0.4668;0.388
DUGDEP;1.4049;0.1435;0.2394
DUGDIT;0.5008;0.8072;0.8004
DUHFAN;0.1702;0.1715;0.3027
DUHFER;0.3919;0.191;0.9684
DUHXOT;0.142;0.2938;0.9605
DUJCEQ;0.0997;0.2965;0.3175
DUKJAW01;1.1955;0.4388;2.7067
DUKJIE;1.2067;0.5198;2.7487
DUKYEN;0.6026;1.1543;1.0715
DULCAP;0.6806;0.9156;0.8497
DULKUQ;0.3801;0.6828;1.1022
DULNUT;0.1485;0.1983;0.3458
DULSAE;0.1998;0.2628;0.5136
DULSAE10;0.2005;0.2632;0.5137
DUMJEC;0.1526;0.3814;0.4066
DUPLOP;1.1181;0.7695;0.9477
DUPSOY;0.4377;0.4258;0.2657
DUPWAN;0.2814;0.2579;0.3156
DUQTOA;0.5946;0.4375;0.7675
DURBUN;0.0925;0.2948;0.4712
DURDEZ;0.3127;0.5303;0.562
DURMOT;0.5741;0.4804;1.1065
DUSMUB;0.5288;0.5146;0.5636
DUSSOB;0.4376;0.5611;1.3312
DUTBUR;0.1036;0.1562;0.2207
DUTSUH01;0.1158;0.1306;0.1956
DUVBEB10;0.1053;0.2819;0.1966
DUVPOA;0.4139;0.8969;1.1876
DUVPUG;0.3621;0.9635;1.0388
DUVQAN;0.2472;0.2565;0.6972
DUXCOO;0.2945;0.4316;0.7132
DUXGUA;1.5885;1.4385;1.6192
DUXVOJ;0.3869;0.4585;1.2881
DUYDIK;0.6758;0.2288;0.7949
DUYSUN;0.2173;0.4121;0.8178
EADBIU;0.0897;0.1453;0.1345
EAFESD;0.2064;1.1157;2.0111
EBAGUK;0.3489;0.5826;0.8042
EBAJUO;0.1843;0.3254;1.1255
EBAPOM;0.4491;0.3863;0.5435
EBAYOX;0.5031;0.2929;0.4814
EBAYUD;0.5453;0.6287;0.6805
EBEBET;0.5702;0.5858;0.4996
EBEBUI;0.7726;1.2965;0.4572
EBIRAL;0.4264;0.825;0.6499
EBORIW;3.1168;0.1814;0.3397
EBOTOG;0.4675;0.4226;0.7605
ECAMUT;0.9592;0.8642;0.6771
ECARIJ;0.288;0.4362;0.258
ECEMEF;0.0997;0.3686;0.1232
ECEMIJ;0.1108;0.1448;0.5381
ECEYUI;0.187;0.4265;0.3581
ECITAN;0.3883;1.2839;1.7326
ECOPIV;0.2359;0.4781;0.4563
EDALIE;0.3781;0.3281;0.3417
EDAQIK01;0.4201;0.3947;0.4799
EDAYUE;0.4402;0.7668;0.6353
EDEYUJ;0.3196;0.5049;0.989
EDEZAQ;0.1211;0.2792;0.3063
EDITER;0.6331;0.811;1.4877
EDOXUS;0.402;0.5157;1.3817
EDTCFD01;0.8101;0.2212;1.8322
EDUBUC;0.2312;0.8618;0.4093
EDUFIU;0.3769;0.3268;0.672
EDULIY;0.1271;0.1684;0.3701
EDUMEX;0.3629;0.7447;0.318
EDUPUQ;0.3031;0.2581;1.0227
EDUQUP;0.1222;0.2368;0.3099
EDURIF01;0.3009;0.5182;0.4261
EDUSED;0.7389;0.6842;0.6119
EFANEE;0.269;0.402;0.4182
EFORAT;0.4413;0.2645;0.5538
EFOWAX;1.6716;1.6983;1.279
EFUSUV;0.8321;0.779;0.6898
EGAFEX;0.4624;1.2911;0.6952
EGAMEG;0.4477;0.6751;1.1987
EGEHIH;0.4597;0.752;0.5519
EGEMUY;0.592;0.5392;0.4747
EGICAY;0.3122;0.2946;1.117
EGICAZ;0.6137;0.2515;0.5377
EGICAZ01;0.6042;0.248;0.5496
EGICAZ02;0.6188;0.2441;0.5403
EGICAZ03;0.6133;0.2395;0.5287
EGICEC;0.3659;0.315;0.3613
EGINIT;0.3567;0.7706;0.7808
EGINOZ;0.6527;0.4405;1.4759
EGINUF;0.2483;0.1454;0.6275
EGIPAN;0.1713;0.7957;0.4458
EGIPIV;0.2118;0.3057;0.6298
EGIPOB;0.2727;0.5181;0.6988
EGITIZ;0.0977;0.124;0.3045
EGITOF;0.1258;0.1281;0.2828
EGOJAM;0.5369;0.3459;0.8873
EGOJEQ;0.6438;1.2748;1.5079
EGOJIU;0.2729;0.3377;0.9158
EGOKER;0.3432;0.6336;1.3919
EGOKES;0.3096;0.4008;0.6168
EGOLIX;0.1049;0.1562;0.1783
EGOLIX01;0.1044;0.1558;0.1791
EHACAT;0.6345;0.8066;0.4716
EHEZOH;0.6809;0.6217;1.3854
EHOPIA;0.0735;0.0733;0.5308
EHOPUM;0.1041;0.097;0.5769
EHUFET;0.4768;0.3742;1.286
EHUGAR;0.3353;0.4061;0.3226
EHUVUZ;0.1991;0.1901;0.4466
EHUWAG;0.1211;0.1571;0.5117
EHUYEN;0.9193;0.8448;0.7869
EJAKAB;0.787;1.002;1.8183
EJAKAD;0.6723;0.3854;0.6423
EJATEO;1.2225;0.2248;0.72
EJEMAH;0.8254;0.6855;0.2778
EJIXUQ;0.3256;0.2588;0.5236
EJIYEB;0.3318;0.2012;0.6919
EJIYIF;0.1853;0.499;1.365
EJOBAI;0.1395;0.195;0.3306
EJOJET;0.3357;0.5989;0.5458
EJOKAQ;0.1557;0.2765;0.6678
EJONEW;0.0417;0.0419;0.187
EJONIA;0.172;0.1441;0.2139
EJOQID;0.2689;0.2542;1.3272
EKABUO;0.3336;0.7054;0.7627
EKACAV01;0.3199;0.4;0.4777
EKAFED;0.1111;0.1221;0.1951
EKAKEI;0.8198;0.9003;1.2036
EKATUF;0.3276;0.3739;0.4007
EKELOW;0.347;0.5418;0.1588
EKELUC;0.7626;0.6298;0.4363
EKEQUI;0.6457;0.5946;1.3
EKINAN;0.6251;0.6287;0.7206
EKUBIW;0.3182;0.127;0.6227
ELAJIL;1.0;0.637;1.251
ELAKIL;0.1633;0.3371;1.3027
ELENOZ;0.433;0.4312;1.4396
ELEWUO;0.7163;0.5872;0.592
ELISAU;0.5091;0.4614;0.8067
ELITOK;0.1138;0.108;0.3646
ELITUQ;0.1325;0.1686;0.8316
ELUBOC;0.3647;0.4272;0.3541
EMABID;0.0753;0.1304;0.1443
EMABOJ;0.0768;0.1314;0.1484
EMABUP;0.2919;0.3809;0.3747
EMACAW;0.2904;0.382;0.3755
EMACIE;0.0641;0.1188;0.2503
EMACOK;0.1317;0.1259;0.1173
EMACUQ;0.1355;0.1262;0.1185
EMAROZ;0.1676;0.2554;0.8778
EMEVAT;0.4915;0.8977;0.8802
EMIFEL;0.3887;0.3961;0.3868
EMOLOJ;0.1318;0.4842;0.7096
EMOYEL;0.1989;0.2481;0.6909
EMOYIP;0.3543;0.3115;0.4488
ENEVUP;0.3383;0.5425;0.666
ENEZAY;0.353;0.1466;0.4858
ENFERA;1.0915;0.6947;0.5743
ENIPOI;0.1882;0.4198;0.299
ENIWON;0.25;0.4872;0.5112
ENOMOL;0.4966;0.4398;0.5148
ENONAY;0.1801;0.4853;0.3248
ENOZAK;0.4074;0.6401;1.4911
EPAJIQ;0.3173;0.8697;0.9133
EPEPIZ;0.124;0.2854;0.379
EPEWUT;0.3238;0.6007;1.0363
EPIVIK;0.6461;1.0599;1.5921
EQOFAS;0.2171;1.1014;0.4146
EQOHIB;0.8384;1.5453;0.8645
EQOMOM;0.5532;0.3111;0.4218
ERASOH;0.1795;0.3517;0.4251
EREHAK;0.3476;0.3493;0.4588
ERERID;0.1485;0.2016;0.436
EREZUX;0.5881;0.9907;0.6527
ERIFAM;0.2754;0.2663;0.1445
ERIFEQ;0.2005;0.2312;0.2049
ERIGAN;0.2066;0.4006;0.6759
ERUCID;0.2725;0.212;0.2092
ESAGOV;0.2508;0.4614;0.5937
ESAPOF;0.3479;0.4374;0.3105
ESAPUL;0.1178;0.2638;0.4436
ESAQAS;0.3582;0.4234;0.6723
ESASIB;0.4552;0.1637;0.4547
ESASOH;0.1694;0.226;0.3111
ESCPFE10;0.3198;0.273;0.8571
ESEGAM;0.2118;0.258;0.2785
ESOPIN;0.2609;0.2662;0.8648
ESUVEU;0.1734;0.347;0.7214
ETAMFE;0.1651;0.5014;0.7087
ETAPAR;0.562;0.7141;0.6672
ETECAI;0.9009;1.2854;1.1302
ETEMOF;1.6784;1.3322;1.6652
ETESAX;0.1592;0.2378;0.4627
ETICEQ;1.7084;0.6112;0.6406
ETIHOF;0.2001;0.4114;0.5175
ETIJAT;0.2662;0.3735;0.6018
ETINEB;0.2746;0.4703;0.4914
ETISUW;0.9016;1.3168;2.3742
ETOGAW;0.2539;0.2736;0.4939
ETOGEA;0.4053;0.3598;0.5155
ETOHEB;0.5508;0.418;0.7272
ETOHUR;0.3736;0.3848;0.5401
ETOVIU;0.3568;0.3023;0.3974
ETUHIM;0.2902;0.3366;0.5533
ETUHIM01;0.2994;0.347;0.5756
ETULOV;0.1054;0.2473;0.1375
ETUSOC;0.1923;0.2601;0.9181
ETUSOC01;0.2279;0.2874;0.8904
ETUSOC02;0.1971;0.2631;0.9288
EVAPEW;0.5831;0.2991;0.4364
EWABAG;0.6176;0.7707;0.8859
EWABIO;0.9403;0.6666;1.2383
EWABUA;0.5682;0.6087;0.434
EWALET;0.2042;0.1481;1.0158
EWEQAY;0.6708;0.5676;0.5363
EWIBUH;0.225;0.1918;0.3385
EWISEK;0.3781;0.4486;0.8385
EWIVEM;0.3305;0.3356;0.7461
EWIVIQ;0.2807;0.2587;0.6138
EWUSAS;0.4615;0.4908;0.4979
EWUZAX;0.1132;0.1932;0.4678
EXABOW;0.3267;0.3193;0.2739
EXARAY;0.0996;0.1267;0.3511
EXARAY01;0.1089;0.1382;0.3639
EXARAY03;0.1037;0.1268;0.352
EXEBAK;0.3235;0.3444;0.7229
EXEBOY;0.0733;0.4065;1.8332
EXEFEU;0.4584;0.5543;0.5092
EXEXAG;0.5527;0.5892;0.7413
EXOGII;0.0488;0.1744;0.3159
EXOGOO;0.0494;0.1733;0.3027
EXOGUU02;0.2218;0.1776;0.2404
EXOMOU;0.3543;0.3752;0.5062
EXOMOU01;0.1619;0.1764;0.3865
EXOQIR;0.278;0.2062;0.8752
EXOVUI;0.0822;0.1088;0.5506
EXOWOD;0.7529;0.7763;0.9466
EXOXEW;0.6514;0.6073;0.5782
EYAPIF01;0.1906;0.2225;0.2118
EYAPUP;0.6399;0.7115;1.0089
EYAWAC;0.709;0.2473;0.9624
EYEBUF;0.5951;0.6177;0.6338
EYEFIX;0.2493;0.3843;0.6317
EYEYOW;0.3531;0.3278;1.2201
EYEYUC;0.8307;0.6799;1.8714
EYITIR;0.7884;1.1789;0.9236
